goal	rule	score
p1(X1, X9)	p1(a0, a67)	1
p1(a0, X1)	p1(a0, a67)	1
p4(X0, a38)	p4(X5, X8) :- p5(X8, X5, X0)	1
p3(X7, X0)	p3(a19, a55)	1
p5(X0, X8, X1)	p5(a83, a80, a88)	1
p5(X3, X6, X0)	p5(a14, a93, a12)	1
p4(a24, X0)	p4(X5, X8) :- p5(X8, X5, X0)	1
p5(X0, X3, X1)	p5(a1, a6, a36)	1
p5(X6, X2, X0)	p5(X4, X0, X8) :- p5(X0, X4, X4), p7(X8, X4)	1
p9(X4)	p9(a62)	1
p2(X1, X0)	p2(a79, a47)	1
p4(X1, X7)	p4(a0, a66)	1
p2(X0, X1)	p2(a31, a0)	1
p5(X0, X8, X1)	p5(a75, a0, a33)	1
p5(a1, X8, X0)	p5(a1, a6, a36)	1
p3(X2, X0)	p3(a11, a75)	1
p5(X0, X8, X1)	p5(a0, a76, a0)	1
p1(X2, X0)	p1(a37, a31)	1
p1(X0, X5)	p1(a0, a10)	1
p6(X5, X8)	p6(a69, a18)	1
p0(X0, X4)	p0(a51, a15)	1
p9(X5)	p9(a12)	1
p2(X3, X9)	p2(X4, X8) :- p0(X8, X4)	1
p7(X0, X1)	p7(a49, a61)	1
p7(X1, a57)	p7(a1, a57)	1
p5(X2, X5, X0)	p5(a16, a19, a75)	1
p0(X9, X3)	p0(a49, a58)	1
p8(X0, X1, X7, X2)	p8(a50, a11, a87, a62)	1
p2(X0, X1)	p2(a47, a26)	1
p7(X3, a57)	p7(a1, a57)	1
p8(X0, X1, X3, X6)	p8(a50, a11, a87, a62)	1
p4(X0, X2)	p4(a31, a66)	1
p7(X8, a23)	p7(a4, a23)	1
p0(X5, X4)	p0(a66, a15)	1
p4(X1, X7)	p4(a68, a0)	1
p4(X0, X2)	p4(a78, a6)	1
p4(X1, X7)	p4(a78, a6)	1
p7(X1, a71)	p7(a84, a71)	1
p5(X6, X2, X0)	p5(a35, a1, a12)	1
p7(X9, X1)	p7(a0, a25)	1
p4(X5, a10)	p4(a7, a10)	1
p8(X2, X3, X1, X0)	p8(a85, a64, a21, a10)	1
p7(X0, X8)	p7(a4, a23)	1
p7(X0, X1)	p7(a12, a19)	1
p3(X6, X0)	p3(a47, a21)	1
p9(X0)	p9(a62)	1
p0(X0, X4)	p0(a0, a15)	1
p2(X1, X0)	p2(a0, a33)	1
p8(X0, X1, X2, X3)	p8(a26, a11, a29, a39)	1
p6(X3, X6)	p6(a17, a82)	1
p8(X0, X2, X1, X3)	p8(a20, a63, a39, a5)	1
p5(X0, a35, X1)	p5(a57, X5, X7) :- p3(X5, X7)	1
p5(X8, X7, X2)	p5(a90, a25, a2)	1
p5(X9, X3, X0)	p5(a0, a6, a2)	1
p3(X8, X5)	p3(a40, a95)	1
p7(X2, X8)	p7(a77, a20)	1
p0(a0, X7)	p0(a0, a94)	1
p9(a79)	p9(a79)	1
p1(X0, X1)	p1(a15, a41)	1
p5(X2, X4, X0)	p5(a75, a0, a33)	1
p7(X0, X2)	p7(a97, a6)	1
p0(X0, X4)	p0(a60, a0)	1
p1(X2, X8)	p1(a15, a2)	1
p0(X0, X7)	p0(a37, a14)	1
p1(X4, X1)	p1(a63, a0)	1
p3(X4, X0)	p3(a32, a11)	1
p2(X0, X5)	p2(a8, a44)	1
p4(a24, X7)	p4(a24, a0)	1
p5(X6, X2, X0)	p5(a0, a76, a0)	1
p4(a0, X9)	p4(a0, a17)	1
p0(X1, X0)	p0(a37, a14)	1
p9(X6)	p9(a65)	1
p5(X9, X0, X1)	p5(a65, a38, a95)	1
p4(X8, X2)	p4(a0, a66)	1
p8(a20, a63, X0, a5)	p8(a20, a63, a39, a5)	1
p3(X8, X3)	p3(a68, a20) :- p9(X4)	1
p1(X1, X0)	p1(a17, a49)	1
p3(a18, X0)	p3(a18, a73)	1
p7(a80, X0)	p7(a80, a81)	1
p4(a38, X1)	p4(a38, a35)	1
p1(X4, X0)	p1(a1, a2)	1
p2(X6, X7)	p2(a0, a13)	1
p5(X9, X0, X1)	p5(a11, a16, a25)	1
p1(X1, X0)	p1(a0, a73)	1
p0(X0, a11)	p0(a79, a11)	1
p2(X4, X5)	p2(a0, a25)	1
p5(X5, X0, X1)	p5(a10, a26, a0)	1
p4(X1, X4)	p4(a5, a0)	1
p0(a22, X0)	p0(a22, a1)	1
p1(X0, X8)	p1(a15, a52)	1
p8(X0, X1, X7, X5)	p8(a25, a66, a6, a36)	1
p7(X0, X8)	p7(a65, a0)	1
p5(X7, a82, X0)	p5(X0, a82, a2) :- p0(X5, X5), p0(X5, X0)	1
p3(X3, X0)	p3(a1, a27)	1
p4(X2, X6)	p4(a16, a22)	1
p0(X5, X7)	p0(a49, a58)	1
p7(X2, X6)	p7(a40, a81)	1
p5(X0, a19, X1)	p5(a16, a19, a75)	1
p4(X0, X2)	p4(a24, a0)	1
p3(X2, X0)	p3(a47, a21)	1
p7(X1, X0)	p7(a93, a87)	1
p1(X0, X7)	p1(a84, a48)	1
p8(X0, X1, X7, X2)	p8(a43, a0, a44, a0)	1
p4(X0, X6)	p4(a17, a67)	1
p7(X0, X4)	p7(a12, a19)	1
p7(X0, X2)	p7(a23, a0)	1
p4(a6, X0)	p4(X5, X8) :- p5(X8, X5, X0)	1
p2(X6, X3)	p2(a13, a28)	1
p5(X0, a16, X1)	p5(a11, a16, a25)	1
p7(a1, X8)	p7(a1, a57)	1
p0(X0, a40)	p0(a36, a40)	1
p0(X8, X1)	p0(a22, a0)	1
p7(X8, a0)	p7(a23, a0)	1
p7(a23, a0)	p7(a23, a0)	1
p6(X5, X8)	p6(a0, a14)	1
p4(a11, X0)	p4(a11, a0)	1
p4(a0, X4)	p4(a0, a11)	1
p9(X6)	p9(a76)	1
p7(X7, X0)	p7(a93, a10)	1
p5(X5, X0, X1)	p5(a64, a3, a92)	1
p3(X8, X3)	p3(a26, a1)	1
p5(X3, X6, X0)	p5(a14, a97, a40)	1
p4(X8, a10)	p4(a7, a10)	1
p1(X0, X1)	p1(a25, a1)	1
p7(X8, X2)	p7(a42, a38)	1
