goal	rule	score
p6(X4, X5)	p6(a60, a10)	1
p8(X0, X8)	p8(a1, a0)	1
p4(X0, X2)	p4(a18, a0)	1
p4(X5, X0)	p4(a71, a0)	1
p8(X0, X8)	p8(a3, a45)	1
p4(X0, X9)	p4(a17, a69)	1
p4(X0, X7)	p4(a0, a0)	1
p4(X0, X6)	p4(a31, a70)	1
p4(X2, X0)	p4(a13, a15)	1
p9(X2, X2)	p9(a0, a0)	1
p8(X0, X3)	p8(a11, a31)	1
p8(X0, X1)	p8(a71, a13)	1
p4(X0, X2)	p4(a91, a10)	1
p4(X1, a0)	p4(a16, a0)	1
p8(X0, X4)	p8(a0, a23)	1
p9(X8, X8)	p9(a0, a0)	1
p4(X7, X9)	p4(a13, a15)	1
p4(X3, X0)	p4(a95, a39)	1
p4(X1, X0)	p4(a0, a0)	1
p4(X6, X0)	p4(a16, a0)	1
p8(X0, a13)	p8(X0, X0) :- p4(X0, X2)	1
p8(X0, X3)	p8(a0, a64)	1
p4(X6, X0)	p4(a60, a42)	1
p6(X4, X9)	p6(a60, a10)	1
p4(X7, X9)	p4(a33, a32)	1
p8(X0, a0)	p8(a67, a0)	1
p4(X0, X3)	p4(a71, a0)	1
p4(X0, X6)	p4(a77, a6)	1
p8(X7, X0)	p8(a3, a45)	1
p8(X0, X8)	p8(a0, a1)	1
p7(X0, X1)	p7(a91, a11)	1
p7(X0, X1)	p7(a79, a35)	1
p4(X5, X4)	p4(a5, a48)	1
p4(X0, X6)	p4(a43, a45)	1
p3(X5)	p3(a12)	1
p4(X9, a0)	p4(a18, a0)	1
p4(X0, X7)	p4(a17, a69)	1
p4(a61, X0)	p4(a61, a27)	1
p6(X4, X9)	p6(a84, a32)	1
p9(X1, X1)	p9(X6, X6) :- p4(X3, X6)	1
p8(X6, X6)	p8(X0, X0) :- p4(X0, X2)	1
p8(X0, X1)	p8(a93, a1)	1
p6(X9, X7)	p6(a73, a19)	1
p6(X4, X9)	p6(a18, a0)	1
p6(X4, X9)	p6(a78, a85)	1
p4(X0, X9)	p4(a13, a15)	1
p6(X0, X5)	p6(a58, a1)	1
p9(X6, X6)	p9(X6, X6) :- p4(X3, X6)	1
p4(X3, X0)	p4(a13, a15)	1
p8(X0, X8)	p8(a71, a13)	1
p4(X0, X9)	p4(a33, a32)	1
p6(X4, X9)	p6(a43, a13)	1
p7(X0, X1)	p7(a58, a36)	1
p4(X3, X0)	p4(a33, a32)	1
p4(a71, X4)	p4(a71, a0)	1
p8(a78, X0)	p8(a78, a19)	1
p8(a0, X9)	p8(a0, a10)	1
p8(X0, X1)	p8(a19, a67)	1
p4(X2, X0)	p4(a18, a0)	1
p8(X0, X4)	p8(a77, a28)	1
p4(X8, X0)	p4(a71, a0)	1
p1(X7, X4, a5, X0)	p1(X8, a0, a5, X0) :- p8(X8, X0)	1
p8(X0, X9)	p8(a95, a16)	1
p6(a0, X1)	p6(a0, a12)	1
p5(X0, a0, a59)	p5(a2, a0, a59)	1
p8(X0, X1)	p8(a67, a0)	1
p8(X0, a18)	p8(X0, X0) :- p4(X0, X2)	1
p8(X0, X4)	p8(a75, a0)	1
p8(X1, X0)	p8(a12, a53)	1
p6(X4, X9)	p6(a35, a14)	1
p2(X0, a68, a14)	p2(a97, a68, a14)	1
p4(X0, X3)	p4(a0, a2)	1
p4(X0, X1)	p4(a5, a48)	1
p4(X7, X0)	p4(a70, a75)	1
p6(X9, X7)	p6(a42, a1)	1
p1(X1, X0, X1, a33)	p1(a0, a15, a0, a33)	1
p4(X0, X3)	p4(a61, a27)	1
p6(X4, X9)	p6(a7, a5)	1
p1(X3, X9, a5, X3)	p1(X8, a0, a5, X0) :- p8(X8, X0)	1
p8(X0, X1)	p8(a3, a45)	1
p4(X2, X0)	p4(a0, a2)	1
p6(X0, X5)	p6(a18, a0)	1
p4(X1, X0)	p4(a5, a48)	1
p6(X0, X1)	p6(a73, a19)	1
p8(a77, X7)	p8(a77, a28)	1
p1(a39, a0, a5, X0)	p1(X8, a0, a5, X0) :- p8(X8, X0)	1
p8(X1, X0)	p8(a44, a48)	1
p8(X0, X8)	p8(a12, a53)	1
p4(X0, X2)	p4(a61, a27)	1
p7(a17, X0)	p7(a17, a79)	1
p8(X0, a91)	p8(X0, X0) :- p4(X0, X2)	1
p4(X2, X0)	p4(a77, a6)	1
p4(X7, X9)	p4(a0, a2)	1
p4(X2, X0)	p4(a43, a45)	1
p4(X0, a42)	p4(a60, a42)	1
p8(X0, X9)	p8(a22, a11)	1
p8(a22, a22)	p8(X0, X0) :- p4(X0, X2)	1
p4(X3, X0)	p4(a18, a0)	1
p4(X8, X0)	p4(a70, a20)	1
p4(X5, X0)	p4(a22, a10)	1
p4(X5, X0)	p4(a21, a11)	1
p4(X0, X6)	p4(a70, a20)	1
p4(X0, X1)	p4(a16, a0)	1
p3(X5)	p3(a96)	1
p4(X6, X0)	p4(a71, a0)	1
p6(X0, X1)	p6(a29, a1)	1
p6(X0, X1)	p6(X6, X1) :- p4(a71, X6), p4(X1, X6)	1
p8(X0, X5)	p8(a44, a48)	1
p4(a71, a0)	p4(a71, a0)	1
p8(X0, X9)	p8(a95, a49)	1
p6(X0, a16)	p6(a7, a16)	1
p7(X0, X1)	p7(a80, a56)	1
p6(X4, X5)	p6(a2, a54)	1
p6(X4, X9)	p6(a63, a12)	1
p4(X0, X3)	p4(a20, a0)	1
p8(X0, X1)	p8(a11, a31)	1
p4(X3, X0)	p4(a0, a2)	1
p6(X9, X7)	p6(a21, a17)	1
p8(a11, X4)	p8(a11, a31)	1
p6(X4, X5)	p6(a29, a1)	1
p6(X4, X5)	p6(X6, X1) :- p4(a71, X6), p4(X1, X6)	1
p4(X3, X0)	p4(a77, a6)	1
p6(X0, X1)	p6(a48, a1)	1
p6(X4, X5)	p6(a21, a17)	1
p4(X5, a0)	p4(a54, a0)	1
p6(a2, X5)	p6(a2, a54)	1
p8(X0, X9)	p8(a71, a37)	1
p8(X0, X1)	p8(a0, a64)	1
p6(a2, X5)	p6(a2, a0)	1
p1(X2, a0, X4, X2)	p1(X8, a0, a5, X0) :- p8(X8, X0)	1
p4(X3, X0)	p4(a43, a45)	1
p8(X0, a17)	p8(X0, X0) :- p4(X0, X2)	1
p4(X0, X2)	p4(a22, a10)	1
