takes(rowena_ravenclaw, _EX1)	takes(Y, Y)	takes(lily_potter, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(Y, _EX3)	takes(vincent_crabble, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(rowena_ravenclaw, _EX2)	takes(pomona_sprout, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(rowena_ravenclaw, frank_longbottom)	takes(lily_potter, _EX5)
takes(rowena_ravenclaw, _EX1)	takes(_EX3, dolores_umbridge)	takes(colin_creevey, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(_EX0, _EX0)	takes(hugo_weasley, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(rowena_ravenclaw, _EX4)	takes(seamus_finnigan, Y)
takes(rowena_ravenclaw, _EX1)	takes(_EX5, X)	takes(myrtle_warren, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(Z, _EX2)	takes(horace_slughorn, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(Z, _EX1)	takes(ginny_weasley, P)
takes(rowena_ravenclaw, _EX1)	takes(P, _EX1)	takes(trevor, _EX2)
takes(rowena_ravenclaw, _EX1)	takes(rowena_ravenclaw, _EX5)	takes(pomona_sprout, Y)
takes(rowena_ravenclaw, _EX1)	takes(_EX5, _EX4)	takes(peter_pettigrew, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(X, cho_chang)	takes(narcissa_malfoy, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(rowena_ravenclaw, astronomy)	takes(albus_severus_potter, Y)
takes(rowena_ravenclaw, _EX1)	takes(rowena_ravenclaw, xenophilius_lovegood)	takes(james_sirius_potter, _EX1)
takes(rowena_ravenclaw, _EX1)	takes(_EX1, _EX5)	takes(ravenclaw_diadem, _EX0)
takes(rowena_ravenclaw, _EX1)	takes(rowena_ravenclaw, _EX4)	takes(myrtle_warren, _EX5)
takes(rowena_ravenclaw, _EX1)	takes(_EX4, _EX1)	takes(arabella_figg, _EX5)
takes(rowena_ravenclaw, _EX1)	takes(_EX5, _EX1)	takes(nagini, _EX1)
parent(ginny_weasley, vincent_crabble)	parent(P, _EX1)	parent(ginny_weasley, history_of_magic)
parent(ginny_weasley, vincent_crabble)	parent(Y, vincent_crabble)	parent(ginny_weasley, colin_creevey)
parent(ginny_weasley, vincent_crabble)	parent(ginny_weasley, _EX1)	parent(ginny_weasley, godric_gryffindor)
parent(ginny_weasley, vincent_crabble)	parent(_EX4, vincent_crabble)	parent(ginny_weasley, ravenclaw)
parent(ginny_weasley, vincent_crabble)	parent(X, _EX5)	parent(flying, trevor)
parent(ginny_weasley, vincent_crabble)	parent(ginny_weasley, Y)	parent(ginny_weasley, seamus_finnigan)
parent(ginny_weasley, vincent_crabble)	parent(ginny_weasley, Y)	parent(pomona_sprout, ravenclaw_diadem)
parent(ginny_weasley, vincent_crabble)	parent(P, _EX0)	parent(arithmancy, fawkes)
parent(ginny_weasley, vincent_crabble)	parent(_EX1, vincent_crabble)	parent(ginny_weasley, percy_weasley)
parent(ginny_weasley, vincent_crabble)	parent(ginny_weasley, _EX4)	parent(ginny_weasley, neville_longbottom)
parent(ginny_weasley, vincent_crabble)	parent(P, vincent_crabble)	parent(ginny_weasley, fawkes)
parent(ginny_weasley, vincent_crabble)	parent(ginny_weasley, X)	parent(ginny_weasley, charms)
parent(ginny_weasley, vincent_crabble)	parent(_EX5, vincent_crabble)	parent(ginny_weasley, resurrection_stone)
parent(ginny_weasley, vincent_crabble)	parent(_EX5, vincent_crabble)	parent(vincent_crabbe, vincent_crabble)
parent(ginny_weasley, vincent_crabble)	parent(_EX5, vincent_crabble)	parent(ginny_weasley, petunia_dursley)
parent(ginny_weasley, vincent_crabble)	parent(_EX3, _EX5)	parent(arabella_figg, vincent_crabble)
parent(ginny_weasley, vincent_crabble)	parent(ginny_weasley, _EX3)	parent(ginny_weasley, hedwig)
parent(ginny_weasley, vincent_crabble)	parent(ginny_weasley, Z)	parent(fleur_delacour, thestral)
parent(ginny_weasley, vincent_crabble)	parent(X, vincent_crabble)	parent(ginny_weasley, voldemort)
parent(ginny_weasley, vincent_crabble)	parent(_EX5, vincent_crabble)	parent(ginny_weasley, gryffindor)
pure_blood(hufflepuff)	pure_blood(Y)	pure_blood(cedric_diggory)
pure_blood(hufflepuff)	pure_blood(_EX4)	pure_blood(padma_patil)
pure_blood(hufflepuff)	pure_blood(P)	pure_blood(salazar_slytherin)
pure_blood(hufflepuff)	pure_blood(_EX4)	pure_blood(seamus_finnigan)
pure_blood(hufflepuff)	pure_blood(_EX1)	pure_blood(newt_scamander)
pure_blood(hufflepuff)	pure_blood(Y)	pure_blood(vincent_crabbe)
pure_blood(hufflepuff)	pure_blood(_EX2)	pure_blood(scabbers)
pure_blood(hufflepuff)	pure_blood(P)	pure_blood(wizarding_world)
pure_blood(hufflepuff)	pure_blood(Y)	pure_blood(padma_patil)
pure_blood(hufflepuff)	pure_blood(Z)	pure_blood(gilderoy_lockhart)
pure_blood(hufflepuff)	pure_blood(_EX2)	pure_blood(rubeus_hagrid)
pure_blood(hufflepuff)	pure_blood(_EX2)	pure_blood(gilderoy_lockhart)
pure_blood(hufflepuff)	pure_blood(_EX0)	pure_blood(quirinus_quirrell)
pure_blood(hufflepuff)	pure_blood(Z)	pure_blood(arthur_weasley)
pure_blood(hufflepuff)	pure_blood(Z)	pure_blood(filius_flitwick)
pure_blood(hufflepuff)	pure_blood(_EX4)	pure_blood(voldemort)
pure_blood(hufflepuff)	pure_blood(_EX3)	pure_blood(alastor_moody)
pure_blood(hufflepuff)	pure_blood(_EX3)	pure_blood(seamus_finnigan)
pure_blood(hufflepuff)	pure_blood(Y)	pure_blood(marauders)
pure_blood(hufflepuff)	pure_blood(_EX2)	pure_blood(parvati_patil)
teaches(Y, _EX0)	teaches(Y, petunia_dursley)	likes_voldemort(_EX0)
teaches(Y, _EX0)	teaches(Y, ancient_runes)	sibling(P, _EX4)
teaches(Y, _EX0)	teaches(bellatrix_lestrange, _EX0)	muggleborn(xenophilius_lovegood)
teaches(Y, _EX0)	teaches(Y, luna_lovegood)	creature(_EX5)
teaches(Y, _EX0)	teaches(_EX4, _EX2)	deatheater(seamus_finnigan)
teaches(Y, _EX0)	teaches(_EX3, _EX0)	in_ravenclaw(arthur_weasley)
teaches(Y, _EX0)	teaches(_EX0, _EX0)	female(hufflepuff_cup)
teaches(Y, _EX0)	teaches(_EX0, _EX0)	destroyed(severus_snape, slytherin)
