house(_EX0, dolores_umbridge)	house(ron_weasley, Z)	house(_EX0, transfiguration)
house(_EX0, dolores_umbridge)	house(fluffy, dolores_umbridge)	house(_EX0, fawkes)
house(_EX0, dolores_umbridge)	house(_EX0, Z)	house(Y, cedric_diggory)
house(_EX0, dolores_umbridge)	house(_EX0, _EX3)	house(X, hufflepuff_cup)
house(_EX0, dolores_umbridge)	house(newt_scamander, dolores_umbridge)	house(_EX1, lily_potter)
house(_EX0, dolores_umbridge)	house(_EX5, dolores_umbridge)	house(_EX3, sybill_trelawney)
house(_EX0, dolores_umbridge)	house(_EX0, _EX2)	house(_EX1, lucius_malfoy)
house(_EX0, dolores_umbridge)	house(_EX0, X)	house(_EX5, albus_severus_potter)
house(_EX0, dolores_umbridge)	house(tom_riddle, dolores_umbridge)	house(P, tom_riddle)
house(_EX0, dolores_umbridge)	house(percy_weasley, _EX4)	house(_EX0, minerva_mcgonagall)
house(_EX0, dolores_umbridge)	house(care_of_magical_creatures, dolores_umbridge)	house(P, care_of_magical_creatures)
house(_EX0, dolores_umbridge)	house(_EX0, _EX0)	house(Y, fluffy)
house(_EX0, dolores_umbridge)	house(_EX0, _EX2)	house(Z, albus_dumbledore)
house(_EX0, dolores_umbridge)	house(bill_weasley, _EX4)	house(_EX0, padma_patil)
house(_EX0, dolores_umbridge)	house(resurrection_stone, dolores_umbridge)	house(_EX0, hedwig)
house(_EX0, dolores_umbridge)	house(bill_weasley, Y)	house(X, order_of_the_phoenix)
house(_EX0, dolores_umbridge)	house(X, dolores_umbridge)	house(_EX0, aragog)
house(_EX0, dolores_umbridge)	house(_EX0, _EX3)	house(_EX0, harry_potter)
house(_EX0, dolores_umbridge)	house(_EX1, _EX5)	house(_EX5, gregory_goyle)
house(_EX0, dolores_umbridge)	house(_EX4, _EX1)	house(_EX1, sybill_trelawney)
in_slytherin(divination)	in_slytherin(Y)	in_slytherin(scabbers)
in_slytherin(divination)	in_slytherin(Y)	in_slytherin(scabbers)
in_slytherin(divination)	in_slytherin(_EX5)	in_slytherin(fleur_delacour)
in_slytherin(divination)	in_slytherin(_EX3)	in_slytherin(rubeus_hagrid)
in_slytherin(divination)	in_slytherin(P)	in_slytherin(fred_weasley)
in_slytherin(divination)	in_slytherin(Y)	in_slytherin(ginny_weasley)
in_slytherin(divination)	in_slytherin(_EX0)	in_slytherin(parvati_patil)
in_slytherin(divination)	in_slytherin(Z)	in_slytherin(defense_against_the_dark_arts)
in_slytherin(divination)	in_slytherin(_EX4)	in_slytherin(order_of_the_phoenix)
